Port,Volume_Conteneurs_Vides,Bateau_Entreprise,Pourcentage_Conteneurs_Vides,Presence_Moyenne_Jours,Type_Conteneur,Risque_Vide
Busan,98396,Maersk,12.9,5,Particuliers,Moyenne
Tianjin,96918,Yang Ming,11.5,3,Entreprises Grande Taille,Haute
Shangai,149619,ZIM,9.5,5,Entreprises Grande Taille,Basse
Hong Kong,68070,Hapag-Lloyd,12.9,7,Industriels,Haute
Rotterdam,118609,Yang Ming,13.8,7,Alimentaires,Haute
Shangai,135531,CMA CGM,11.3,7,Petites Entreprises,Moyenne
Qingdao,82119,Evergreen,11.8,4,Industriels,Moyenne
Qingdao,87990,Yang Ming,13.9,4,Industriels,Moyenne
Tianjin,74918,COSCO,14.5,5,Industriels,Basse
Busan,73241,Maersk,14.9,3,Petites Entreprises,Haute
Shangai,127188,Evergreen,12.3,3,Industriels,Haute
Shangai,135589,ONE,13.0,3,Alimentaires,Basse
Guangzou,84801,Hapag-Lloyd,10.8,6,Industriels,Haute
Tianjin,93351,Evergreen,11.6,5,Petites Entreprises,Haute
Busan,77414,CMA CGM,9.4,5,Particuliers,Moyenne
Shangai,147290,Yang Ming,14.9,4,Particuliers,Basse
Guangzou,92131,Maersk,13.5,6,Particuliers,Basse
Rotterdam,86535,ONE,11.0,6,Industriels,Moyenne
Tianjin,87845,MSC,13.9,6,Particuliers,Moyenne
Guangzou,99324,ZIM,11.6,3,Industriels,Haute
Hong Kong,66432,ONE,13.0,6,Petites Entreprises,Moyenne
Rotterdam,88331,ZIM,13.3,3,Petites Entreprises,Moyenne
Busan,93841,Evergreen,14.5,7,Petites Entreprises,Haute
Singapour,117260,ZIM,10.5,4,Industriels,Moyenne
Hong Kong,76002,Evergreen,13.5,3,Petites Entreprises,Moyenne
Shenzen,96846,Evergreen,9.2,7,Entreprises Grande Taille,Basse
Singapour,115711,Evergreen,11.8,3,Petites Entreprises,Moyenne
Shangai,105422,MSC,13.7,4,Entreprises Grande Taille,Moyenne
Busan,80314,Hapag-Lloyd,10.1,5,Industriels,Basse
Qingdao,101896,Yang Ming,13.3,4,Alimentaires,Haute
Guangzou,109755,Yang Ming,14.5,3,Industriels,Haute
Ningbo Zhoushan,114740,MSC,14.7,6,Entreprises Grande Taille,Haute
Guangzou,88548,ZIM,13.4,5,Industriels,Moyenne
Guangzou,87935,CMA CGM,12.0,4,Particuliers,Moyenne
Hong Kong,89641,ZIM,10.9,4,Entreprises Grande Taille,Moyenne
Qingdao,88718,Maersk,13.2,5,Petites Entreprises,Haute
Busan,76091,COSCO,9.8,5,Entreprises Grande Taille,Haute
Tianjin,89036,Evergreen,12.8,6,Entreprises Grande Taille,Moyenne
Singapour,97484,Yang Ming,14.9,4,Petites Entreprises,Haute
Singapour,99219,Evergreen,10.4,6,Particuliers,Basse
Guangzou,104117,ONE,14.7,5,Entreprises Grande Taille,Haute
Shenzen,109355,ONE,14.1,5,Entreprises Grande Taille,Moyenne
Shenzen,100322,Hapag-Lloyd,9.9,6,Alimentaires,Moyenne
Rotterdam,103893,CMA CGM,11.4,4,Entreprises Grande Taille,Basse
Guangzou,104463,ZIM,9.2,4,Alimentaires,Moyenne
Singapour,108284,Evergreen,13.8,7,Particuliers,Haute
Qingdao,79762,Hapag-Lloyd,11.0,7,Entreprises Grande Taille,Basse
Ningbo Zhoushan,143770,COSCO,11.4,4,Entreprises Grande Taille,Basse
Rotterdam,96359,ONE,9.6,5,Petites Entreprises,Haute
Shangai,108594,Evergreen,12.7,7,Alimentaires,Moyenne
Ningbo Zhoushan,105318,Evergreen,11.2,6,Entreprises Grande Taille,Moyenne
Tianjin,90150,ONE,14.7,5,Petites Entreprises,Haute
Shangai,135187,MSC,9.3,4,Particuliers,Moyenne
Qingdao,91740,MSC,12.6,3,Particuliers,Basse
Shangai,112769,ZIM,10.7,7,Alimentaires,Haute
Qingdao,81250,COSCO,10.2,3,Alimentaires,Haute
Guangzou,109771,Hapag-Lloyd,10.5,6,Entreprises Grande Taille,Haute
Hong Kong,93562,CMA CGM,11.6,5,Alimentaires,Haute
Ningbo Zhoushan,125962,MSC,14.6,5,Alimentaires,Basse
Hong Kong,81558,Hapag-Lloyd,13.9,3,Particuliers,Moyenne
Hong Kong,79074,Evergreen,9.4,7,Industriels,Moyenne
Hong Kong,88443,Hapag-Lloyd,12.0,5,Entreprises Grande Taille,Basse
Qingdao,78455,ZIM,14.8,7,Petites Entreprises,Moyenne
Tianjin,65977,ONE,9.6,3,Alimentaires,Moyenne
Shenzen,94556,Evergreen,9.2,7,Alimentaires,Moyenne
Shangai,135124,ONE,9.3,7,Entreprises Grande Taille,Basse
Qingdao,81785,MSC,11.2,4,Industriels,Haute
Shangai,130570,Maersk,14.1,4,Industriels,Moyenne
Singapour,92833,CMA CGM,14.0,3,Particuliers,Moyenne
Tianjin,93328,ZIM,9.8,3,Petites Entreprises,Haute
Busan,95229,MSC,14.4,5,Industriels,Moyenne
Ningbo Zhoushan,142169,COSCO,14.2,5,Particuliers,Basse
Shangai,155789,CMA CGM,14.6,5,Particuliers,Moyenne
Shangai,106144,ONE,10.0,7,Industriels,Basse
Guangzou,97815,ONE,13.2,7,Particuliers,Haute
Shenzen,84854,COSCO,12.5,6,Industriels,Moyenne
Shangai,109503,MSC,14.4,3,Alimentaires,Haute
Singapour,110123,ZIM,13.7,6,Petites Entreprises,Moyenne
Hong Kong,75701,Hapag-Lloyd,14.2,4,Particuliers,Haute
Hong Kong,64543,CMA CGM,14.5,4,Alimentaires,Basse
Shangai,128761,Evergreen,13.1,4,Particuliers,Haute
Tianjin,78901,MSC,9.0,4,Industriels,Basse
Busan,79286,Yang Ming,13.2,5,Industriels,Haute
Singapour,99250,Evergreen,13.0,6,Petites Entreprises,Basse
Singapour,118797,COSCO,14.2,5,Petites Entreprises,Basse
Guangzou,98299,ZIM,12.8,5,Particuliers,Haute
Shenzen,97238,ONE,11.1,5,Entreprises Grande Taille,Moyenne
Tianjin,86798,ONE,9.1,6,Alimentaires,Haute
Shenzen,84236,Evergreen,13.0,3,Entreprises Grande Taille,Moyenne
Rotterdam,93161,MSC,11.1,7,Entreprises Grande Taille,Basse
Shenzen,115655,Evergreen,11.9,3,Particuliers,Haute
Singapour,107981,MSC,13.8,6,Industriels,Basse
Singapour,99246,MSC,11.2,3,Petites Entreprises,Haute
Singapour,128207,ZIM,11.1,6,Alimentaires,Moyenne
Hong Kong,89871,Evergreen,14.8,3,Entreprises Grande Taille,Haute
Rotterdam,97434,MSC,10.9,7,Particuliers,Haute
Tianjin,84871,MSC,11.8,7,Particuliers,Moyenne
Shenzen,113704,Hapag-Lloyd,13.3,5,Petites Entreprises,Moyenne
Tianjin,74293,COSCO,10.9,3,Particuliers,Moyenne
Singapour,117052,COSCO,11.1,5,Particuliers,Haute
Singapour,113521,CMA CGM,11.6,6,Particuliers,Basse
Guangzou,83783,ONE,11.9,7,Industriels,Basse
Guangzou,74465,MSC,9.5,4,Particuliers,Haute
Ningbo Zhoushan,135371,ONE,14.9,4,Particuliers,Moyenne
Shenzen,113499,Maersk,14.2,5,Particuliers,Basse
Ningbo Zhoushan,118966,MSC,9.8,4,Particuliers,Basse
Hong Kong,85420,Maersk,14.6,7,Particuliers,Basse
Shangai,117772,ZIM,14.9,3,Entreprises Grande Taille,Moyenne
Rotterdam,103173,ONE,14.9,6,Petites Entreprises,Moyenne
Ningbo Zhoushan,105669,Maersk,14.5,6,Industriels,Basse
Tianjin,74714,CMA CGM,11.5,7,Industriels,Basse
Rotterdam,91941,COSCO,13.3,5,Petites Entreprises,Haute
Shangai,139629,Evergreen,11.9,7,Alimentaires,Haute
Qingdao,93951,ZIM,13.8,7,Entreprises Grande Taille,Basse
Rotterdam,90870,COSCO,13.9,7,Particuliers,Moyenne
Hong Kong,69035,Yang Ming,14.9,6,Particuliers,Haute
Ningbo Zhoushan,131940,ZIM,9.8,4,Particuliers,Haute
Guangzou,92758,Hapag-Lloyd,10.2,6,Particuliers,Moyenne
Rotterdam,110223,ONE,14.8,7,Alimentaires,Haute
Busan,87009,Hapag-Lloyd,11.0,4,Particuliers,Basse
Qingdao,95815,Hapag-Lloyd,10.5,6,Entreprises Grande Taille,Basse
Shangai,147773,MSC,9.1,3,Alimentaires,Haute
Guangzou,74640,CMA CGM,11.9,4,Particuliers,Haute
Busan,73674,Yang Ming,11.4,4,Industriels,Basse
Shenzen,84399,MSC,13.1,6,Petites Entreprises,Moyenne
Singapour,113169,ZIM,14.3,7,Industriels,Moyenne
Guangzou,89360,COSCO,9.7,3,Petites Entreprises,Haute
Singapour,108912,MSC,13.4,7,Industriels,Haute
Ningbo Zhoushan,131557,Maersk,10.1,7,Entreprises Grande Taille,Basse
Hong Kong,63952,MSC,13.3,6,Alimentaires,Haute
Rotterdam,100597,Evergreen,13.4,5,Alimentaires,Haute
Singapour,129578,MSC,10.8,5,Entreprises Grande Taille,Moyenne
Qingdao,92468,MSC,10.1,4,Industriels,Moyenne
Guangzou,86404,ONE,9.5,6,Industriels,Basse
Singapour,93854,CMA CGM,9.2,6,Entreprises Grande Taille,Basse
Guangzou,105405,ONE,12.8,6,Industriels,Basse
Qingdao,99782,CMA CGM,12.9,7,Particuliers,Haute
Guangzou,99364,Evergreen,11.6,5,Particuliers,Moyenne
Singapour,103998,COSCO,13.9,7,Particuliers,Haute
Busan,82519,Yang Ming,10.2,6,Particuliers,Moyenne
Shangai,123251,COSCO,9.9,3,Alimentaires,Haute
Guangzou,104842,ONE,13.0,6,Particuliers,Haute
Singapour,94847,MSC,10.5,3,Alimentaires,Haute
Busan,76183,MSC,11.4,6,Petites Entreprises,Moyenne
Qingdao,69102,Yang Ming,12.1,3,Alimentaires,Haute
Rotterdam,92479,ONE,13.8,7,Petites Entreprises,Haute
Rotterdam,92541,Yang Ming,11.3,3,Petites Entreprises,Moyenne
Qingdao,82335,MSC,14.3,7,Particuliers,Haute
Guangzou,81958,Evergreen,9.4,5,Industriels,Basse
Shenzen,82603,Hapag-Lloyd,12.2,3,Particuliers,Haute
Ningbo Zhoushan,105458,Yang Ming,15.0,3,Entreprises Grande Taille,Basse
Shenzen,95377,ONE,12.5,7,Entreprises Grande Taille,Moyenne
Shenzen,89943,Maersk,13.3,4,Alimentaires,Haute
Singapour,123064,Maersk,12.0,5,Alimentaires,Moyenne
Rotterdam,106687,Hapag-Lloyd,11.0,3,Petites Entreprises,Haute
Singapour,96955,Evergreen,12.6,6,Industriels,Haute
Busan,103994,COSCO,14.0,6,Entreprises Grande Taille,Moyenne
Qingdao,97062,ZIM,10.8,7,Particuliers,Haute
Rotterdam,82917,COSCO,9.9,4,Particuliers,Moyenne
Tianjin,66779,ONE,13.9,5,Industriels,Moyenne
Rotterdam,105595,Yang Ming,14.2,5,Petites Entreprises,Haute
Ningbo Zhoushan,106402,Evergreen,13.1,4,Petites Entreprises,Haute
Rotterdam,118130,ONE,11.8,3,Particuliers,Moyenne
Rotterdam,88421,ONE,9.8,7,Entreprises Grande Taille,Moyenne
Qingdao,81443,MSC,11.1,4,Petites Entreprises,Haute
Rotterdam,87097,ZIM,11.1,7,Petites Entreprises,Moyenne
Shenzen,97141,Evergreen,9.4,4,Particuliers,Basse
Singapour,118087,Maersk,13.7,4,Alimentaires,Haute
Singapour,107940,Yang Ming,11.0,6,Particuliers,Basse
Shangai,155212,Maersk,13.8,7,Entreprises Grande Taille,Basse
Busan,98240,Maersk,10.2,4,Alimentaires,Haute
Tianjin,74255,MSC,10.4,4,Particuliers,Moyenne
Shenzen,110628,Maersk,14.9,3,Entreprises Grande Taille,Haute
Busan,76668,ZIM,13.7,3,Alimentaires,Basse
Tianjin,78158,Hapag-Lloyd,14.0,5,Entreprises Grande Taille,Moyenne
Rotterdam,121151,Maersk,12.2,4,Petites Entreprises,Moyenne
Qingdao,75860,MSC,12.2,4,Alimentaires,Haute
Rotterdam,112544,CMA CGM,13.3,5,Entreprises Grande Taille,Haute
Qingdao,76719,CMA CGM,9.3,7,Industriels,Haute
Singapour,103651,Maersk,10.7,5,Particuliers,Basse
Tianjin,97571,COSCO,11.6,4,Industriels,Moyenne
Ningbo Zhoushan,142380,ZIM,13.2,7,Petites Entreprises,Moyenne
Shangai,131991,ZIM,14.4,3,Industriels,Moyenne
Guangzou,75816,Evergreen,13.6,5,Industriels,Basse
Shangai,125755,MSC,10.1,7,Particuliers,Haute
Qingdao,73004,CMA CGM,13.5,6,Particuliers,Haute
Shenzen,99111,COSCO,13.0,5,Alimentaires,Haute
Hong Kong,89597,Hapag-Lloyd,12.9,6,Petites Entreprises,Haute
Hong Kong,72681,ONE,9.9,3,Alimentaires,Basse
Shenzen,87839,Hapag-Lloyd,13.7,7,Industriels,Basse
Qingdao,85263,Yang Ming,10.3,6,Petites Entreprises,Basse
Singapour,100289,COSCO,13.8,4,Petites Entreprises,Haute
Guangzou,75676,Evergreen,9.5,7,Alimentaires,Haute
Busan,85435,ONE,10.7,7,Particuliers,Haute
Shangai,132747,CMA CGM,10.0,7,Particuliers,Moyenne
Shangai,150552,COSCO,12.2,4,Alimentaires,Haute
Rotterdam,111342,ZIM,13.8,5,Particuliers,Moyenne
Busan,89083,ONE,10.6,7,Entreprises Grande Taille,Moyenne
Ningbo Zhoushan,135335,Hapag-Lloyd,14.8,6,Entreprises Grande Taille,Basse
Ningbo Zhoushan,124661,ZIM,12.9,5,Alimentaires,Haute
Busan,104003,Maersk,12.7,6,Industriels,Moyenne
Rotterdam,99087,Evergreen,13.1,7,Particuliers,Haute
Shangai,119369,MSC,13.9,6,Entreprises Grande Taille,Haute
Busan,82932,COSCO,9.9,4,Particuliers,Basse
Guangzou,84333,COSCO,10.7,4,Entreprises Grande Taille,Moyenne
Qingdao,99421,Yang Ming,11.6,4,Petites Entreprises,Basse
Tianjin,92472,COSCO,9.4,4,Particuliers,Moyenne
Shangai,123246,ZIM,10.0,3,Alimentaires,Haute
Ningbo Zhoushan,132731,Yang Ming,12.6,4,Entreprises Grande Taille,Haute
Hong Kong,80336,CMA CGM,12.7,6,Entreprises Grande Taille,Haute
Qingdao,70786,Yang Ming,12.1,3,Industriels,Haute
Busan,95582,Yang Ming,13.9,7,Particuliers,Moyenne
Ningbo Zhoushan,148838,CMA CGM,10.3,5,Entreprises Grande Taille,Haute
Hong Kong,85975,Evergreen,13.1,6,Particuliers,Haute
Qingdao,84331,MSC,10.2,7,Industriels,Basse
Shangai,155009,CMA CGM,13.6,6,Particuliers,Haute
Rotterdam,120592,Yang Ming,9.4,4,Petites Entreprises,Moyenne
Busan,103176,MSC,13.1,6,Alimentaires,Basse
Qingdao,96630,ZIM,13.6,3,Particuliers,Haute
Shangai,117413,ZIM,13.6,7,Entreprises Grande Taille,Basse
Tianjin,90478,Maersk,12.1,4,Industriels,Haute
Shenzen,107194,Evergreen,14.5,6,Petites Entreprises,Haute
Qingdao,101311,Yang Ming,14.4,6,Petites Entreprises,Basse
Hong Kong,62406,Evergreen,14.3,7,Petites Entreprises,Haute
Shenzen,102344,ONE,10.1,5,Alimentaires,Basse
Shangai,129958,COSCO,11.3,3,Industriels,Basse
Singapour,128019,Yang Ming,10.0,6,Entreprises Grande Taille,Basse
Shangai,151914,MSC,10.5,3,Petites Entreprises,Moyenne
Qingdao,68990,COSCO,14.7,5,Alimentaires,Moyenne
Qingdao,80589,ONE,10.6,3,Alimentaires,Haute
Guangzou,105977,Evergreen,13.3,3,Petites Entreprises,Moyenne
Busan,95739,Yang Ming,9.9,5,Particuliers,Haute
Hong Kong,80121,Evergreen,13.3,6,Industriels,Basse
Shenzen,84388,Evergreen,12.3,6,Alimentaires,Basse
Hong Kong,76777,CMA CGM,14.7,5,Particuliers,Moyenne
Qingdao,101368,Evergreen,12.0,4,Particuliers,Basse
Busan,71525,MSC,12.3,7,Entreprises Grande Taille,Moyenne
Tianjin,78706,Maersk,13.8,3,Alimentaires,Haute
Qingdao,73358,MSC,13.5,7,Alimentaires,Moyenne
Hong Kong,92566,Hapag-Lloyd,10.3,7,Entreprises Grande Taille,Basse
Hong Kong,71874,MSC,12.2,4,Industriels,Haute
Tianjin,66234,Yang Ming,10.3,6,Alimentaires,Moyenne
Rotterdam,101181,Maersk,9.6,7,Alimentaires,Moyenne
Hong Kong,86509,Yang Ming,9.1,6,Petites Entreprises,Haute
Ningbo Zhoushan,104568,ONE,12.7,3,Petites Entreprises,Moyenne
Hong Kong,70038,CMA CGM,13.0,5,Particuliers,Moyenne
Guangzou,92194,CMA CGM,10.6,6,Petites Entreprises,Haute
Tianjin,77320,Evergreen,15.0,6,Entreprises Grande Taille,Moyenne
Guangzou,93499,Maersk,14.9,3,Particuliers,Moyenne
Hong Kong,76378,Hapag-Lloyd,9.4,7,Petites Entreprises,Basse
Shangai,145888,ONE,10.6,6,Entreprises Grande Taille,Basse
Ningbo Zhoushan,118708,ZIM,12.5,5,Alimentaires,Moyenne
Shenzen,84129,COSCO,12.5,4,Entreprises Grande Taille,Moyenne
Shenzen,111654,Hapag-Lloyd,12.2,3,Industriels,Basse
Singapour,108962,Yang Ming,10.1,4,Particuliers,Moyenne
Shenzen,103634,Maersk,14.7,4,Particuliers,Moyenne
Rotterdam,101843,MSC,12.0,5,Petites Entreprises,Haute
Tianjin,98220,MSC,9.9,5,Alimentaires,Basse
Shangai,136652,ONE,11.0,3,Petites Entreprises,Basse
Shenzen,88537,ONE,11.5,6,Petites Entreprises,Moyenne
Singapour,105903,Evergreen,13.6,5,Industriels,Moyenne
Ningbo Zhoushan,123904,Hapag-Lloyd,14.2,4,Industriels,Haute
Qingdao,86794,Hapag-Lloyd,11.2,7,Entreprises Grande Taille,Basse
Busan,73947,ZIM,13.2,3,Alimentaires,Moyenne
Qingdao,99470,COSCO,11.6,7,Petites Entreprises,Haute
Shenzen,111842,Evergreen,10.7,7,Alimentaires,Haute
Busan,81535,Maersk,12.5,6,Entreprises Grande Taille,Basse
Rotterdam,119685,COSCO,11.3,4,Entreprises Grande Taille,Moyenne
Ningbo Zhoushan,112416,ZIM,10.9,7,Particuliers,Moyenne
Ningbo Zhoushan,142872,Hapag-Lloyd,9.4,5,Alimentaires,Moyenne
Rotterdam,98191,Evergreen,10.0,4,Particuliers,Moyenne
Tianjin,84817,MSC,9.8,5,Particuliers,Basse
Qingdao,99683,ONE,14.6,6,Particuliers,Moyenne
Rotterdam,89454,COSCO,11.2,3,Alimentaires,Moyenne
Shenzen,90017,MSC,10.9,3,Entreprises Grande Taille,Basse
Ningbo Zhoushan,144724,Hapag-Lloyd,12.4,5,Entreprises Grande Taille,Moyenne
Singapour,104178,CMA CGM,13.1,5,Particuliers,Moyenne
Qingdao,78185,ZIM,12.3,3,Industriels,Moyenne
Qingdao,90653,Evergreen,14.2,6,Entreprises Grande Taille,Haute
Tianjin,93893,ONE,14.3,4,Alimentaires,Haute
Qingdao,96449,Maersk,12.2,7,Alimentaires,Haute
Singapour,100099,COSCO,14.6,4,Industriels,Basse
Rotterdam,98832,CMA CGM,9.9,3,Entreprises Grande Taille,Basse
Guangzou,88140,CMA CGM,13.3,3,Entreprises Grande Taille,Moyenne
Singapour,98184,ONE,13.6,6,Industriels,Basse
Shangai,142503,MSC,12.6,7,Industriels,Moyenne
Ningbo Zhoushan,113308,CMA CGM,9.4,3,Entreprises Grande Taille,Moyenne
Ningbo Zhoushan,129078,Evergreen,9.9,4,Industriels,Moyenne
Qingdao,89290,Evergreen,13.5,4,Industriels,Basse
Ningbo Zhoushan,107741,Evergreen,9.3,5,Particuliers,Haute
Tianjin,97770,CMA CGM,10.6,5,Petites Entreprises,Haute
Ningbo Zhoushan,101720,Maersk,14.7,3,Alimentaires,Haute
Qingdao,99261,Maersk,9.4,7,Industriels,Basse
Guangzou,94463,CMA CGM,11.4,5,Petites Entreprises,Haute
Singapour,94125,Evergreen,12.9,5,Petites Entreprises,Haute
Singapour,112755,CMA CGM,13.1,3,Alimentaires,Moyenne
Ningbo Zhoushan,119726,MSC,14.7,5,Entreprises Grande Taille,Basse
Singapour,92189,ZIM,12.1,6,Particuliers,Haute
Rotterdam,92164,Maersk,9.4,5,Alimentaires,Moyenne
Busan,95553,ONE,9.4,5,Industriels,Basse
Guangzou,77389,Yang Ming,10.2,4,Alimentaires,Haute
Shangai,144102,COSCO,10.3,5,Petites Entreprises,Haute
Guangzou,88695,CMA CGM,13.2,3,Industriels,Moyenne
Guangzou,84944,Maersk,10.7,5,Alimentaires,Basse
Tianjin,97200,CMA CGM,14.3,7,Industriels,Moyenne
Hong Kong,71169,Maersk,13.4,5,Industriels,Moyenne
Singapour,112372,COSCO,13.9,5,Petites Entreprises,Haute
Guangzou,84105,ONE,12.9,7,Petites Entreprises,Haute
Rotterdam,103346,Maersk,11.4,6,Entreprises Grande Taille,Basse
Hong Kong,85142,MSC,12.4,4,Particuliers,Haute
Tianjin,89299,COSCO,13.1,7,Petites Entreprises,Haute
Ningbo Zhoushan,124808,MSC,9.7,5,Entreprises Grande Taille,Haute
Ningbo Zhoushan,132148,Maersk,9.2,6,Entreprises Grande Taille,Haute
Shenzen,97436,Maersk,14.4,7,Alimentaires,Moyenne
Shangai,117354,Yang Ming,9.2,5,Particuliers,Haute
Ningbo Zhoushan,112726,CMA CGM,11.9,3,Particuliers,Basse
Guangzou,97912,Yang Ming,12.3,3,Particuliers,Moyenne
Tianjin,65620,ONE,13.2,4,Industriels,Basse
Hong Kong,84462,MSC,9.5,3,Industriels,Haute
Singapour,104752,ZIM,11.1,3,Entreprises Grande Taille,Basse
Ningbo Zhoushan,125435,MSC,14.5,4,Industriels,Moyenne
Shenzen,99114,Yang Ming,13.7,6,Alimentaires,Moyenne
Busan,85698,COSCO,12.9,7,Alimentaires,Haute
Shenzen,82317,Evergreen,12.8,4,Particuliers,Moyenne
Rotterdam,116062,MSC,10.3,6,Particuliers,Haute
Qingdao,79218,COSCO,11.4,5,Industriels,Moyenne
Shenzen,113389,Evergreen,9.7,5,Petites Entreprises,Moyenne
Shenzen,87387,CMA CGM,12.0,6,Petites Entreprises,Moyenne
Busan,74807,COSCO,12.6,7,Entreprises Grande Taille,Moyenne
Tianjin,76051,Evergreen,10.8,3,Entreprises Grande Taille,Haute
Shenzen,87631,ZIM,9.5,4,Petites Entreprises,Haute
Hong Kong,68158,MSC,14.3,7,Entreprises Grande Taille,Haute
Shangai,122585,Hapag-Lloyd,10.2,5,Industriels,Haute
Busan,79760,Hapag-Lloyd,12.8,6,Alimentaires,Haute
Shangai,129453,Maersk,11.8,6,Petites Entreprises,Haute
Busan,71760,MSC,13.3,7,Alimentaires,Moyenne
Hong Kong,88792,Yang Ming,9.7,7,Petites Entreprises,Moyenne
Ningbo Zhoushan,132810,MSC,13.8,5,Alimentaires,Basse
Shangai,145098,CMA CGM,10.2,7,Alimentaires,Haute
Hong Kong,78250,Evergreen,10.4,4,Entreprises Grande Taille,Haute
Busan,71551,Evergreen,10.9,6,Alimentaires,Haute
Hong Kong,85161,CMA CGM,12.0,6,Alimentaires,Haute
Shenzen,101637,Hapag-Lloyd,9.1,4,Entreprises Grande Taille,Moyenne
Shenzen,109626,Yang Ming,14.1,7,Entreprises Grande Taille,Moyenne
Qingdao,90801,Hapag-Lloyd,11.8,5,Particuliers,Moyenne
Tianjin,66482,COSCO,13.8,4,Petites Entreprises,Basse
Shenzen,91921,COSCO,14.5,6,Alimentaires,Moyenne
Shangai,135434,Yang Ming,10.7,6,Alimentaires,Haute
Guangzou,109487,Maersk,11.0,6,Entreprises Grande Taille,Haute
Tianjin,78306,MSC,11.9,3,Particuliers,Moyenne
Qingdao,90058,MSC,9.5,6,Petites Entreprises,Moyenne
Tianjin,89835,Yang Ming,12.0,6,Entreprises Grande Taille,Moyenne
Singapour,103351,Evergreen,12.5,4,Entreprises Grande Taille,Basse
Hong Kong,76849,Hapag-Lloyd,9.7,5,Entreprises Grande Taille,Basse
Shangai,132609,Hapag-Lloyd,9.1,3,Entreprises Grande Taille,Moyenne
Rotterdam,90271,Hapag-Lloyd,13.7,5,Entreprises Grande Taille,Basse
Qingdao,84857,CMA CGM,11.7,3,Entreprises Grande Taille,Haute
Shenzen,90953,ZIM,12.9,6,Entreprises Grande Taille,Basse
Hong Kong,93264,COSCO,13.2,5,Entreprises Grande Taille,Haute
Guangzou,86576,COSCO,13.8,3,Entreprises Grande Taille,Basse
Ningbo Zhoushan,145508,Maersk,11.9,7,Entreprises Grande Taille,Basse
Busan,77272,MSC,9.6,7,Particuliers,Haute
Shangai,138246,ONE,11.4,7,Petites Entreprises,Moyenne
Singapour,115205,Yang Ming,11.0,5,Particuliers,Haute
Singapour,128220,Evergreen,14.6,5,Particuliers,Moyenne
Ningbo Zhoushan,131864,Yang Ming,11.0,7,Industriels,Basse
Rotterdam,108275,ZIM,14.6,7,Petites Entreprises,Moyenne
Qingdao,85747,Maersk,9.3,3,Alimentaires,Moyenne
Qingdao,72764,Hapag-Lloyd,14.5,4,Entreprises Grande Taille,Moyenne
Tianjin,68474,COSCO,10.0,3,Particuliers,Moyenne
Qingdao,80769,CMA CGM,13.0,7,Industriels,Moyenne
Tianjin,83567,Yang Ming,14.3,7,Petites Entreprises,Haute
Singapour,137232,MSC,14.6,4,Alimentaires,Basse
Guangzou,97517,CMA CGM,10.2,6,Petites Entreprises,Moyenne
Singapour,136127,ONE,11.5,5,Petites Entreprises,Basse
Tianjin,88565,ONE,11.2,4,Industriels,Moyenne
Tianjin,65692,MSC,11.1,5,Entreprises Grande Taille,Moyenne
Hong Kong,72203,MSC,12.2,6,Industriels,Haute
Guangzou,81774,ZIM,10.2,7,Alimentaires,Moyenne
Rotterdam,117813,ONE,12.6,3,Entreprises Grande Taille,Basse
Rotterdam,105316,Yang Ming,9.2,5,Petites Entreprises,Haute
Qingdao,86614,Hapag-Lloyd,14.1,6,Entreprises Grande Taille,Moyenne
Shenzen,84079,Maersk,9.5,3,Petites Entreprises,Haute
Shangai,117577,MSC,12.0,4,Industriels,Basse
Hong Kong,66698,Evergreen,10.6,4,Alimentaires,Basse
Singapour,105450,Evergreen,10.4,3,Alimentaires,Moyenne
Ningbo Zhoushan,125741,Yang Ming,10.9,4,Alimentaires,Haute
Tianjin,78721,CMA CGM,14.3,3,Industriels,Basse
Qingdao,76481,ONE,14.2,4,Entreprises Grande Taille,Basse
Qingdao,69824,MSC,10.5,6,Petites Entreprises,Moyenne
Qingdao,97305,Hapag-Lloyd,13.4,4,Entreprises Grande Taille,Haute
Guangzou,100687,ZIM,11.2,5,Petites Entreprises,Haute
Qingdao,71455,Evergreen,14.0,3,Entreprises Grande Taille,Basse
Ningbo Zhoushan,104339,ONE,11.7,6,Alimentaires,Haute
Tianjin,70022,CMA CGM,12.1,3,Industriels,Basse
Rotterdam,95890,ZIM,10.2,7,Alimentaires,Moyenne
Qingdao,82358,CMA CGM,10.3,3,Alimentaires,Moyenne
Busan,94537,ONE,10.1,3,Alimentaires,Moyenne
Rotterdam,108769,Yang Ming,9.4,6,Industriels,Basse
Shangai,105781,ONE,11.9,7,Alimentaires,Haute
Qingdao,68800,Evergreen,13.7,3,Particuliers,Haute
Shangai,139107,COSCO,13.3,3,Industriels,Haute
Singapour,100415,Hapag-Lloyd,11.7,6,Particuliers,Moyenne
Rotterdam,102241,COSCO,14.5,7,Entreprises Grande Taille,Haute
Shenzen,109914,Yang Ming,13.0,6,Industriels,Basse
Shangai,109276,Yang Ming,11.9,3,Industriels,Haute
Rotterdam,96331,Yang Ming,11.8,7,Industriels,Haute
Busan,97754,Maersk,14.0,6,Petites Entreprises,Haute
Shangai,130127,ONE,12.2,5,Industriels,Basse
Hong Kong,80588,CMA CGM,14.2,6,Industriels,Moyenne
Shenzen,115324,Maersk,11.6,5,Entreprises Grande Taille,Moyenne
